#,Nome do Produto,SKU,Categoria,Prioridade,Repostável,Status Post,Link do Produto,Link da Imagem,Legenda Instagram,Observações,Ordem de Postagem
24516,Boina Masculina Italiana Classic Xadrez Vinho e Bege Verão,081.00.06.Z32,Boina,Normal,Não,Não Postado,,,,,106
24511,Boina Masculina Italiana Classic Xadrez Tartan Marrom Inverno,081.00.06.Z31,Boina,Normal,Não,Não Postado,,,,,107
24506,Boina Masculina Italiana Classic Xadrez Tartan Bordô Inverno,081.00.06.Z30,Boina,Normal,Não,Não Postado,,,,,108
24503,"Boina Masculina Italiana Classic Xadrez Chumbo, Rosa, Azul e Branco Verão",081.00.06.Z29,Boina,Normal,Não,Não Postado,,,,,109
24498,Boina Masculina Italiana Classic Xadrez Tartan Laranja Inverno,081.00.06.Z28,Boina,Normal,Não,Não Postado,,,,,110
24493,"Boina Masculina Italiana Classic Xadrez Rosa, Bege e Branco Verão",081.00.06.Z27,Boina,Normal,Não,Não Postado,,,,,111
24488,"Boina Masculina Italiana Classic Xadrez Vinho, Azul, Verde e Branco Verão",081.00.06.Z26,Boina,Normal,Não,Não Postado,,,,,112
24485,"Boina Masculina Italiana Classic Xadrez Marrom, Azul e Branco Verão",081.00.06.Z25,Boina,Normal,Não,Não Postado,,,,,113
24480,"Boina Masculina Italiana Classic Xadrez Azul, Preto e Cinza Verão",081.00.06.Z24,Boina,Normal,Não,Não Postado,,,,,114
24470,Boina Masculina Italiana Classic Preto e Azul Pretoléo Inverno,081.00.06.Z22,Boina,Normal,Não,Não Postado,,,,,115
24465,"Boina Masculina Italiana Classic Xadrez Verde, Azul, Preto e Cáqui Verão",081.00.06.Z21,Boina,Normal,Não,Não Postado,,,,,116
24460,Boina Masculina Italiana Classic Mesclado Branco e Preto Inverno,081.00.06.Z20,Boina,Normal,Não,Não Postado,,,,,117
24450,Boina Masculina Italiana Classic Cáqui e Branco Verão,081.00.06.Z18,Boina,Normal,Não,Não Postado,,,,,118
24448,Boina Masculina Italiana Classic Branco e Bege Verão,081.00.06.Z17,Boina,Normal,Não,Não Postado,,,,,119
24443,Boina Masculina Italiana Classic Amarelo Aveludado Inverno,081.00.06.Z16,Boina,Normal,Não,Não Postado,,,,,120
24433,Boina Masculina Italiana Classic Bege e Cáqui Verão,081.00.06.Z14,Boina,Normal,Não,Não Postado,,,,,121
24423,Boina Masculina Italiana Classic Mini Quadriculado Salmão e Branco Verão,081.00.06.Z12,Boina,Normal,Não,Não Postado,,,,,122
24418,Boina Masculina Italiana Classic Losango Branco e Cáqui Verão,081.00.06.Z11,Boina,Normal,Não,Não Postado,,,,,123
24413,"Boina Masculina Italiana Classic Mini Xadrez Azul, Cinza e Branco Verão",081.00.06.Z10,Boina,Normal,Não,Não Postado,,,,,124
24403,"Boina Masculina Italiana Classic Mini Xadrez Rosa, Azul e Branco Verão",081.00.06.Z08,Boina,Normal,Não,Não Postado,,,,,125
24398,Boina Masculina Italiana Classic Xadrez Tartan Azul Inverno,081.00.06.Z07,Boina,Normal,Não,Não Postado,,,,,126
24393,"Boina Masculina Italiana Classic Xadrez Verde, Branco, Verde e Amarelo Verão",081.00.06.Z06,Boina,Normal,Não,Não Postado,,,,,127
24390,"Boina Masculina Italiana Classic Xadrez Azul, Rosa e Cinza Verão",081.00.06.Z05,Boina,Normal,Não,Não Postado,,,,,128
24385,"Boina Masculina Italiana Classic Xadrez Vinho, Laranja e Azul Verão",081.00.06.Z04,Boina,Normal,Não,Não Postado,,,,,129
24382,"Boina Masculina Italiana Classic Xadrez Marrom, Verde e Salmão Verão",081.00.06.Z03,Boina,Normal,Não,Não Postado,,,,,130
24375,Boina Masculina Italiana Classic Marfim Detalhado Verão,081.00.06.Z01,Boina,Normal,Não,Não Postado,,,,,131
24365,Chapéu Fedora Bicolor San Doná Cáqui,047.03.06.057,Chapéu,Normal,Não,Não Postado,,,,,132
24360,Chapéu Fedora Bicolor San Doná Cinza Escuro,047.03.06.054,Chapéu,Normal,Não,Não Postado,,,,,133
24355,Chapéu Fedora Bicolor San Doná Rosa,047.03.06.040,Chapéu,Normal,Não,Não Postado,,,,,134
24350,Chapéu Fedora Bicolor San Doná Marfim,047.03.06.027,Chapéu,Normal,Não,Não Postado,,,,,135
24345,Chapéu Fedora Bicolor San Doná Azul Marinho,047.03.06.024,Chapéu,Normal,Não,Não Postado,,,,,136
24343,Chapéu Floppy Renata San Doná Verde Militar,121.00.06.091,Chapéu,Normal,Não,Não Postado,,,,,137
24341,Chapéu Floppy Renata San Doná Azul,121.00.06.090,Chapéu,Normal,Não,Não Postado,,,,,138
24339,Chapéu Floppy Renata San Doná Cáqui,121.00.06.057,Chapéu,Normal,Não,Não Postado,,,,,139
24337,Chapéu Floppy Renata San Doná Marrom,121.00.06.053,Chapéu,Normal,Não,Não Postado,,,,,140
24335,Chapéu Floppy Renata San Doná Cinza Escuro,121.00.06.046,Chapéu,Normal,Não,Não Postado,,,,,141
24333,Chapéu Floppy Renata San Doná Rosa,121.00.06.040,Chapéu,Normal,Não,Não Postado,,,,,142
24331,Chapéu Floppy Renata San Doná Marfim,121.00.06.027,Chapéu,Normal,Não,Não Postado,,,,,143
24329,Chapéu Floppy Renata San Doná Vermelho,121.00.06.026,Chapéu,Normal,Não,Não Postado,,,,,144
24327,Chapéu Floppy Renata San Doná Azul Marinho,121.00.06.024,Chapéu,Normal,Não,Não Postado,,,,,145
24325,Chapéu Floppy Renata San Doná Branco,121.00.06.023,Chapéu,Normal,Não,Não Postado,,,,,146
24323,Chapéu Floppy Renata San Doná Preto,121.00.06.022,Chapéu,Normal,Não,Não Postado,,,,,147
24318,Chapéu Fedora Justin San Doná Verde Militar Verão,046.03.06.091,Chapéu,Normal,Não,Não Postado,,,,,148
24313,Chapéu Fedora Justin San Doná Azul Claro Verão,046.03.06.090,Chapéu,Normal,Não,Não Postado,,,,,149
24308,Chapéu Fedora Justin San Doná Cáqui Verão,046.03.06.057,Chapéu,Normal,Não,Não Postado,,,,,150
24303,Chapéu Fedora Justin San Doná Cinza Escuro Verão,046.03.06.054,Chapéu,Normal,Não,Não Postado,,,,,151
24298,Chapéu Fedora Justin San Doná Marrom Verão,046.03.06.053,Chapéu,Normal,Não,Não Postado,,,,,152
24293,Chapéu Fedora Justin San Doná Cinza Claro Verão,046.03.06.046,Chapéu,Normal,Não,Não Postado,,,,,153
24288,Chapéu Fedora Justin San Doná Rosa Verão,046.03.06.040,Chapéu,Normal,Não,Não Postado,,,,,154
24283,Chapéu Fedora Justin San Doná Marfim Verão,046.03.06.027,Chapéu,Normal,Não,Não Postado,,,,,155
24278,Chapéu Fedora Justin San Doná Azul Marinho Verão,046.03.06.024,Chapéu,Normal,Não,Não Postado,,,,,156
